Geneid	logFC	logCPM	PValue	FDR
YGR087C	4.93465285153758	8.66313470489698	1.73968101599078e-14	9.39775684838221e-11
YHR094C	4.72510434209007	9.0300824777974	4.68006903919415e-14	1.26408664748634e-10
YOR273C	3.67059981364623	8.47867809759519	6.94962875968672e-13	1.25139648532759e-09
YPL095C	3.88062377118297	8.45884148972756	1.14325679717566e-12	1.54396830458573e-09
YGR088W	4.53729572220062	9.15635112158858	2.74510785271323e-12	2.51688953350907e-09
YEL069C	-7.77653760422885	7.76815074181843	2.7955085525832e-12	2.51688953350907e-09
YNR071C	-6.34452188680864	9.83876648236764	3.65539308881846e-12	2.74209221710239e-09
YJL052W	4.10476462105576	13.2643733191077	4.08672304898363e-12	2.74209221710239e-09
YJL212C	4.19215856257714	7.70718400219924	4.56846167232904e-12	2.74209221710239e-09
YGL055W	3.36151609178883	10.9199752425508	5.71551828693076e-12	3.0875229786e-09
YOL128C	3.40101015115353	7.40959778836218	6.45839293931115e-12	3.17165805983262e-09
YNR072W	-5.30905226310797	9.08693980839637	8.45830269769911e-12	3.80764593108088e-09
YBL049W	2.77796540647052	8.06606269755404	1.23221181594093e-11	5.1203140228561e-09
YKR097W	-4.65997577781314	8.26358359572522	1.49494548699262e-11	5.76835394338151e-09
YGR201C	3.4348933891219	7.06173246353661	2.27526971581033e-11	8.19400466987161e-09
YMR145C	-3.07903656398084	8.56798523167421	2.88133869489026e-11	9.72811976862324e-09
YOL126C	2.60394894468346	7.38192759324431	3.48827831374776e-11	1.05155903100783e-08
YMR319C	3.27418722150683	7.05713789303573	3.50389902964475e-11	1.05155903100783e-08
YKL164C	-3.09373460736447	8.2428108130326	3.95810948408293e-11	1.12535302279032e-08
YLR004C	3.11208902052385	6.31803561252058	6.03666252075196e-11	1.59090802440494e-08
YJL158C	-3.3896988842095	7.57699786005059	6.18457395640574e-11	1.59090802440494e-08
YCR012W	3.15660615897356	12.0969119931951	7.96881832017682e-11	1.95670711661796e-08
YNL036W	-3.32727464841574	8.82110451359529	8.89080654609949e-11	2.08817986791432e-08
YJR095W	-4.18041846323299	6.39996919258333	1.31039927047949e-10	2.94949035797092e-08
YIR019C	-4.17094770240783	12.8014956136734	1.4482619984441e-10	3.129404526238e-08
YHR174W	2.44662827410082	8.91212822372621	1.58441520267093e-10	3.29192727878015e-08
YNL141W	2.8113418129211	7.4097078745301	2.02949121483305e-10	4.0604857564919e-08
YBL048W	2.31403809549217	7.44392364636228	2.17899716875181e-10	4.20390810914189e-08
YGR125W	2.04564324220408	9.54558983044636	2.32837278790803e-10	4.2714244071186e-08
YIL053W	3.10598300205725	6.30535208858591	2.43780386220168e-10	4.2714244071186e-08
YGR060W	2.05564577360449	8.73342712557987	2.47356680177666e-10	4.2714244071186e-08
YJR152W	2.14268218788812	10.0388767788554	2.53027732372816e-10	4.2714244071186e-08
YOR247W	-3.28537739086843	7.51489419173797	2.86231649721986e-10	4.68552536908536e-08
YDR345C	2.41419675815384	10.6401531889875	3.19642768703917e-10	5.07855951923106e-08
YDR089W	2.27242092705787	6.8720477899592	3.75449068429852e-10	5.77581819273277e-08
YNR073C	-7.98009434324761	10.2678081456361	3.84911986187301e-10	5.77581819273277e-08
YFR015C	-3.52500514995086	7.48993241916196	5.16666336728375e-10	7.54332851623427e-08
YJL116C	3.42399158365961	9.85693085696562	5.62730290394162e-10	7.99965533870859e-08
YHL028W	2.315569198673	7.07002364075154	6.95358904732739e-10	9.63161231632373e-08
YKR034W	2.53256481669534	8.07367353077446	8.08719039649225e-10	1.09217506304628e-07
YOR348C	2.48626305064221	8.97086520489555	8.33390363391898e-10	1.0980426202544e-07
YPR167C	-3.1594400628219	7.67622203911016	9.01496642920858e-10	1.15949639644249e-07
YGR052W	2.99079056510054	5.59377333074739	1.16134439018848e-09	1.45897265018563e-07
YLR303W	-2.94182649062623	9.86285522448449	1.32142800331363e-09	1.62235319861368e-07
YPL106C	-2.51712695675084	10.198514028843	1.43361677123935e-09	1.72097728849666e-07
YOL086C	1.97108089290388	9.67785528215137	1.51216387983516e-09	1.77580636497164e-07
YAL038W	2.06630222838393	10.7420062323614	1.62645368857534e-09	1.86938357993276e-07
YPR036W-A	-3.6249813795554	10.6780015948319	1.76636742326196e-09	1.98122244340033e-07
YPL111W	-2.55112094461513	6.96051934397316	1.82357648440605e-09	1.98122244340033e-07
YLR231C	2.87282050417961	5.2901449859099	1.83378604535388e-09	1.98122244340033e-07
YDR406W	2.06588434654517	9.00317884853931	1.90095489903965e-09	2.01352124796317e-07
YDR536W	-2.79021325441881	7.66372609253407	1.94580556734277e-09	2.02139262976647e-07
YDL210W	3.06543357119379	6.66963042237115	2.15461561305107e-09	2.13938504271605e-07
YPR035W	2.29624611179492	9.4608106098712	2.15869233931388e-09	2.13938504271605e-07
YOR386W	7.30792821120491	5.09330735936382	2.1781965447868e-09	2.13938504271605e-07
YOR047C	3.28606608152451	6.12928517061184	2.3000970780147e-09	2.21877221704204e-07
YLR377C	-3.55399616298574	8.4863714540834	2.83722315529103e-09	2.68889113769862e-07
YJL034W	-2.22451739399312	10.4193889203627	2.89174643761994e-09	2.69331280276257e-07
YER103W	-3.50100783938388	10.2730414523644	3.23307849518516e-09	2.9601847510153e-07
YCL064C	2.38002246697473	6.32756603521455	3.43392658605605e-09	3.0916785696458e-07
YCR032W	2.19222404866887	6.9182670533611	3.53152051055095e-09	3.12742193409774e-07
YLR446W	2.10590311334152	5.95325292248916	3.60716596587566e-09	3.14288879800973e-07
YDL243C	-2.82424170166494	8.86686296786944	3.8346646194138e-09	3.2880727419164e-07
YMR122W-A	-2.56983015060058	8.37299544783358	4.0772382410433e-09	3.43896847039304e-07
YBR072W	-4.03006946133521	10.9415197133357	4.18639380231045e-09	3.43896847039304e-07
YMR088C	2.82327426849415	8.52506363614157	4.20162752769235e-09	3.43896847039304e-07
YHL050C	2.70404924122869	5.23380154370001	5.59456839676988e-09	4.51072514617178e-07
YNL065W	2.21026235450274	6.05967854198339	5.9234347916926e-09	4.70564628598874e-07
YNR067C	-2.34645753057303	7.53050791275518	6.17935125282576e-09	4.8327290252946e-07
YCL018W	2.48910034331455	7.8010056914613	6.34082917926241e-09	4.8327290252946e-07
YLR216C	-2.61244147633702	7.62070799116945	6.35179120318246e-09	4.8327290252946e-07
YGR067C	-2.95658744974843	6.03378223578145	6.48170629588851e-09	4.86308019588746e-07
YNL129W	2.19117313185987	5.49232883487207	6.59295880747486e-09	4.8787895175314e-07
YLR164W	2.71781556340081	5.39930694749423	7.15445789021288e-09	5.2227542598554e-07
YPL262W	-2.10660673585191	8.84445382676448	7.96345747454996e-09	5.73581297033585e-07
YHR183W	1.74218299842034	9.09093928491707	8.26471010852748e-09	5.80312448197501e-07
YOL002C	2.39642709311415	7.35073673747854	8.27176203465523e-09	5.80312448197501e-07
YNR034W-A	-5.73798263457335	12.4969986651027	8.55907175670971e-09	5.86266778746494e-07
YMR002W	-1.89283523937219	8.52544783904967	8.58933387079333e-09	5.86266778746494e-07
YKL001C	-2.76882153779597	7.46435662659827	8.68221812286551e-09	5.86266778746494e-07
